CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
1,24.377035,Male,26.901384,8.190394,1.3387578,17.008966,Premium,Quarterly,681.8356,22.317713,0
2,35.724434,Male,43.150406,21.025301,1.3327355,7.1260247,Standard,Annual,809.30756,10.802647,0
3,46.071774,Male,47.472843,14.255197,3.9551945,12.744383,Basic,Annual,609.70374,23.102015,0
4,49.42041,Female,42.648945,13.327564,2.0226254,12.489157,Basic,Quarterly,579.0232,6.3999276,0
5,45.365894,Male,41.802235,17.552608,7.7727957,14.218254,Basic,Annual,340.67435,17.302275,0
6,50.61239,Male,29.835114,20.666887,0.90383005,19.657051,Premium,Quarterly,402.7725,11.562847,0
7,42.896507,Male,44.86168,13.207969,1.431315,10.205786,Premium,Quarterly,685.12024,8.878926,0
8,25.713194,Male,32.45642,19.631617,2.3332798,23.753458,Standard,Monthly,264.40552,22.418581,0
9,31.713352,Female,18.513426,23.255932,4.6325355,12.367424,Standard,Annual,802.5995,7.9997582,0
10,46.781002,Female,26.933672,24.702785,5.7158785,8.017692,Standard,Annual,727.96924,5.3999352,0
11,35.709995,Male,35.836655,7.368591,1.761035,8.390764,Premium,Quarterly,696.2741,17.715456,0
12,51.792374,Male,40.01692,6.2084575,4.1360474,11.169277,Basic,Annual,438.3212,25.859169,0
13,39.285923,Female,16.4418,15.419679,2.1401432,15.067305,Standard,Quarterly,608.6891,5.1247067,0
14,41.689445,Female,33.874283,21.05225,2.4382572,8.2173605,Standard,Annual,701.89685,6.1152024,0
15,30.29596,Male,14.413931,10.287783,2.9952753,6.8789144,Standard,Quarterly,302.68506,11.169792,0
16,37.040016,Female,48.680378,6.9227433,7.574247,23.303219,Premium,Annual,599.0992,9.997826,0
17,26.980062,Male,26.413328,18.925537,0.7892051,16.283981,Standard,Quarterly,800.19995,13.724745,0
18,29.397625,Male,10.187307,22.329762,7.7888594,25.294283,Standard,Quarterly,254.12337,12.393603,0
19,52.69041,Female,22.093512,22.565165,5.981199,9.522008,Standard,Annual,845.4095,7.546583,0
20,33.719604,Male,48.537254,11.156047,1.1334224,9.186804,Premium,Quarterly,654.0685,8.654544,0
21,47.871185,Male,22.618708,12.729095,3.3400538,21.70184,Premium,Quarterly,727.71234,15.297814,0
22,26.936869,Female,19.330912,9.375625,0.95500326,4.4430127,Standard,Quarterly,857.8931,6.7130575,0
23,33.827473,Male,41.605255,17.835953,2.3436842,17.463911,Standard,Quarterly,799.6865,12.63916,0
24,36.031384,Male,32.929295,12.313142,1.5921547,6.4099665,Premium,Quarterly,690.7482,8.225113,0
25,37.37557,Male,18.379623,13.213553,1.3187051,16.393835,Standard,Quarterly,864.88544,8.919524,0
26,53.63662,Female,36.215954,23.114893,6.1999474,16.916481,Basic,Annual,338.56635,10.128984,0
27,57.32218,Female,38.704845,21.7021,6.639904,25.24315,Basic,Quarterly,597.82935,9.106431,0
28,24.255203,Male,41.713463,26.695425,0.39326784,11.324141,Standard,Annual,743.5131,11.981806,0
29,31.795944,Female,36.32742,8.584999,4.5501804,13.084334,Basic,Annual,393.8806,7.905018,0
30,31.867653,Male,19.803284,24.305996,2.6124442,10.5366955,Standard,Annual,559.2518,24.580654,0
31,29.770708,Male,11.757132,10.785105,3.7573497,20.74687,Standard,Quarterly,329.7664,14.882401,0
32,26.594536,Male,21.376348,19.364767,7.1561656,21.42207,Standard,Quarterly,354.8316,20.698147,0
33,31.068792,Female,39.451637,12.4937,1.2305038,8.269599,Standard,Quarterly,871.63696,6.075772,0
34,54.04696,Male,25.111965,26.387276,1.7637401,21.121136,Basic,Quarterly,398.13498,15.047198,0
35,38.10449,Male,16.468657,24.79968,1.8813257,6.913416,Standard,Annual,719.7016,9.980805,0
36,24.24551,Male,37.14047,16.332272,8.909485,12.433922,Basic,Annual,627.6076,19.155317,0
37,39.25159,Male,24.783667,10.507049,1.7703557,5.5391374,Premium,Quarterly,758.1704,10.078884,0
38,44.997147,Male,42.317635,7.8698254,2.2328086,21.15552,Basic,Quarterly,321.05615,11.771104,0
39,39.16267,Male,35.571144,7.574887,1.5717647,9.818853,Standard,Quarterly,762.1113,7.972488,0
40,38.08976,Male,15.544345,13.585782,1.3488183,9.016719,Premium,Quarterly,715.82904,8.365282,0
41,26.030886,Male,45.441082,15.74725,1.0215201,9.593225,Standard,Quarterly,743.17017,12.332399,0
42,27.606054,Male,36.664448,8.202444,6.8008933,16.01772,Basic,Annual,631.7578,22.879873,0
43,38.56822,Male,8.955894,20.554234,2.3734226,6.4362307,Premium,Quarterly,729.7915,10.896773,0
44,51.016953,Male,27.253714,18.298664,5.147734,22.728382,Basic,Quarterly,599.96936,22.478106,0
45,27.749882,Male,34.733456,21.185156,1.7254907,24.069794,Basic,Monthly,289.07153,24.634102,0
46,30.205008,Male,20.0107,19.844887,1.4094601,7.762577,Standard,Quarterly,854.0185,7.6111045,0
47,48.980137,Female,45.22633,13.855727,3.1490123,12.824237,Basic,Annual,744.76117,8.703113,0
48,44.859467,Male,45.036514,4.6514,3.4217298,5.7740097,Basic,Annual,760.8533,9.270787,0
49,43.712254,Male,33.087574,20.923353,1.7172978,15.937351,Premium,Quarterly,579.9832,16.123083,0
50,36.429516,Male,15.504239,17.288143,1.9502403,5.187802,Standard,Quarterly,899.6039,10.496212,0
51,29.657705,Female,25.445457,9.06858,5.1899743,9.141076,Basic,Quarterly,283.54556,7.8927126,0
52,32.289097,Male,15.673825,21.18979,3.7705593,14.556668,Standard,Annual,570.8799,23.981295,0
53,53.66899,Male,39.986584,10.25977,5.6947975,4.50577,Basic,Annual,549.47485,23.060556,0
54,47.375854,Male,38.363476,15.865296,1.198699,12.927735,Premium,Quarterly,687.7971,15.979116,0
55,37.68753,Male,44.064552,7.703343,1.6474221,17.787455,Standard,Quarterly,779.2799,9.938305,0
56,36.920517,Female,14.67305,24.487204,2.1885087,9.95242,Standard,Quarterly,807.6892,6.0794225,0
57,27.845036,Male,34.74758,21.927666,1.6275873,21.354277,Premium,Quarterly,562.1369,12.278095,0
58,26.198282,Male,13.196766,24.646395,3.8767526,5.9980392,Standard,Annual,709.16583,18.955923,0
59,54.571934,Male,48.448475,6.5477443,5.759782,7.218809,Basic,Annual,625.52295,12.511521,0
60,39.445496,Male,49.727203,19.388483,1.5204146,10.658468,Standard,Annual,628.8044,9.722299,0
61,27.682007,Male,38.812366,17.969185,1.2798307,6.6314125,Premium,Annual,688.70105,14.5669,0
62,59.271877,Female,47.911446,15.2390995,6.8142676,24.304039,Basic,Monthly,256.3506,21.645422,0
63,54.76255,Female,24.164167,6.5935626,5.321502,11.304583,Basic,Quarterly,484.22772,8.32597,0
64,52.018906,Male,39.005386,18.37901,7.683915,22.382801,Basic,Annual,844.4628,21.07967,0
65,53.182373,Male,39.697563,22.166039,7.729415,19.899534,Basic,Annual,711.1476,12.465491,0
66,39.32948,Male,16.7705,9.173908,3.0250223,9.554511,Standard,Quarterly,748.32574,15.699131,0
67,36.994984,Female,44.23117,17.200575,7.287586,20.617588,Standard,Annual,765.3783,8.149938,0
68,53.47102,Male,6.8337398,6.0368667,8.476524,6.9260983,Premium,Quarterly,713.15814,18.652807,0
69,42.33414,Male,34.48005,11.349244,3.3690522,11.795683,Premium,Quarterly,722.01013,13.222646,0
70,26.941187,Female,22.542162,21.140356,8.437136,14.623936,Standard,Annual,640.0598,6.157681,0
71,42.983105,Male,32.430874,13.852337,1.675085,6.5156016,Basic,Quarterly,831.7209,20.983429,0
72,52.012905,Female,42.776825,20.087723,1.8942852,18.960897,Basic,Quarterly,530.923,4.247317,0
73,49.438217,Female,14.529655,11.364851,3.1200871,9.757767,Premium,Quarterly,682.99005,8.293442,0
74,45.2116,Male,22.0512,18.527323,2.7060895,4.928309,Basic,Quarterly,722.4701,22.277943,0
75,39.69165,Male,45.55741,11.536722,1.3639107,7.8632803,Basic,Quarterly,851.4209,14.398644,0
76,33.08276,Male,42.425728,8.675519,2.3917475,14.088677,Basic,Annual,559.87976,21.933289,0
77,29.4404,Male,46.818295,16.435575,0.7632141,9.859342,Standard,Quarterly,822.8729,16.169024,0
78,32.17282,Male,18.826653,24.67377,1.6275703,24.232733,Premium,Quarterly,663.14655,19.00707,0
79,47.90673,Male,10.589884,22.492567,4.31824,5.990202,Premium,Quarterly,627.5991,19.806585,0
80,34.485374,Male,13.880695,24.190136,1.7698957,7.9243655,Standard,Quarterly,380.68536,14.579824,0
81,36.654026,Male,37.61746,8.590091,4.186557,9.513559,Basic,Annual,680.76556,23.193115,0
82,27.583138,Male,35.63529,15.707851,1.1775386,11.020248,Premium,Quarterly,720.43915,13.1303425,0
83,50.32663,Male,18.87683,18.57659,3.647965,4.1737094,Basic,Annual,775.3317,24.548185,0
84,54.788464,Male,41.592964,19.137922,3.0122442,20.765394,Basic,Quarterly,765.2552,16.537159,0
85,30.072243,Male,17.494009,19.527277,1.4336381,5.7301965,Standard,Quarterly,766.8225,22.917097,0
86,41.05466,Male,16.573612,7.336869,2.5486872,12.148181,Standard,Quarterly,743.21173,13.712035,0
87,32.728004,Male,32.11805,6.834889,3.7920082,9.598715,Basic,Annual,636.49664,20.995502,0
88,32.881927,Male,37.409813,25.271622,1.2446756,7.5196056,Standard,Annual,730.8217,7.589587,0
89,36.4518,Female,50.548714,12.691257,1.2007899,6.7052054,Premium,Annual,712.00757,7.2486577,0
90,35.01159,Male,24.148844,23.375559,5.1911654,14.748044,Standard,Annual,515.11633,8.156139,0
91,29.723652,Female,18.840157,19.72802,1.2872121,16.182882,Standard,Quarterly,855.75916,6.442779,0
92,39.0258,Male,49.31495,19.647385,2.2002835,4.658504,Basic,Annual,766.36383,22.14318,0
93,44.434563,Male,48.25951,24.355047,4.0573573,23.718937,Basic,Annual,485.7061,20.262314,0
94,27.6572,Male,33.956604,19.158653,1.3464935,15.759454,Standard,Quarterly,737.86615,20.10339,0
95,31.860977,Male,35.794716,9.7369175,1.5133505,11.925557,Premium,Quarterly,711.8364,21.225613,0
96,37.078346,Male,33.16131,11.430654,1.4908063,7.42713,Basic,Quarterly,808.512,19.011242,0
97,25.62334,Female,32.69099,6.885115,2.323212,22.194132,Standard,Annual,773.72345,7.6769404,0
98,44.404434,Male,41.625675,9.439494,1.4735303,14.625958,Basic,Quarterly,832.98456,21.123922,0
99,32.132694,Male,25.512146,7.9341173,4.8089232,17.346958,Basic,Annual,689.94653,24.025042,0
100,44.096436,Male,14.263233,14.694837,7.3263426,6.257068,Standard,Quarterly,688.9289,17.291077,0
101,38.009975,Male,31.22486,10.481295,6.485123,19.860422,Basic,Quarterly,647.07556,21.74399,0
102,31.111992,Female,42.80362,15.858293,4.644422,10.504485,Basic,Annual,340.21143,8.088027,0
103,43.96012,Female,38.749996,11.834925,8.784873,22.064333,Basic,Quarterly,800.3996,9.218727,0
104,35.43276,Male,28.617647,5.9899793,6.552726,25.271358,Premium,Quarterly,361.15524,16.592413,0
105,36.980133,Male,46.71897,13.151904,1.3701417,6.462538,Premium,Quarterly,688.5121,12.791468,0
106,32.069195,Male,11.331026,12.985652,1.996418,17.839779,Standard,Quarterly,320.77435,8.569386,0
107,35.20441,Male,43.408924,20.648722,1.2604914,21.118053,Premium,Quarterly,442.59317,19.771593,0
108,51.302025,Male,23.72051,13.635661,7.194137,6.4556794,Basic,Quarterly,272.83655,13.526937,0
109,35.622505,Male,30.502745,4.601439,6.583827,24.239117,Standard,Quarterly,272.75677,15.406543,0
110,34.15823,Male,49.155495,13.036909,1.1632044,7.4808936,Basic,Quarterly,790.1034,26.464384,0
111,49.244045,Male,7.895305,16.149197,1.9411285,7.103393,Premium,Quarterly,732.1241,22.661543,0
112,34.475853,Male,43.54653,15.836548,1.460762,9.563414,Standard,Quarterly,869.94995,12.659399,0
113,54.601414,Male,18.31993,13.028782,5.794006,16.216307,Basic,Quarterly,658.6135,23.647095,0
114,42.44364,Female,43.819233,21.122189,1.5044577,10.723119,Standard,Quarterly,727.45245,5.7696576,0
115,34.666576,Female,14.415997,16.915369,2.9169014,10.931507,Standard,Quarterly,589.1513,6.351786,0
116,30.810366,Male,40.027214,11.788016,2.1340976,11.8363,Basic,Quarterly,542.07916,24.937817,0
117,33.09532,Male,18.914465,6.5576663,3.0153399,10.717599,Basic,Quarterly,306.43073,19.689314,0
118,29.557123,Female,37.7372,20.018274,0.8797691,5.3987894,Standard,Quarterly,898.045,5.364759,0
119,28.462973,Female,32.233803,7.902992,1.0281911,3.397614,Standard,Annual,843.36273,7.2264214,0
120,34.883717,Male,38.088608,22.0393,1.6076006,11.895278,Standard,Quarterly,717.79034,22.21353,0
121,25.92052,Male,20.989466,27.286337,2.2215896,17.409206,Standard,Annual,279.0096,17.551025,0
122,54.55691,Female,42.76113,17.90449,6.8673363,19.992702,Basic,Annual,617.2921,13.191287,0
123,49.213005,Male,18.655022,14.35912,5.2289248,7.101411,Basic,Quarterly,795.8227,25.781858,0
124,36.39165,Male,40.38754,8.778522,1.6007047,7.6917267,Premium,Quarterly,644.412,15.394039,0
125,37.578938,Male,37.93273,17.360764,1.7542603,11.149694,Basic,Quarterly,395.0702,12.462173,0
126,41.081215,Male,47.80374,7.5496116,1.5919077,14.767809,Basic,Quarterly,741.2603,17.79714,0
127,35.393456,Male,37.67879,18.26354,5.440118,10.300007,Basic,Annual,414.75497,10.594599,0
128,34.463184,Female,19.979218,9.0526905,1.3387499,14.549164,Standard,Quarterly,774.44257,5.514014,0
129,39.67748,Male,13.549419,15.218591,2.6146686,8.798397,Standard,Quarterly,597.4359,14.132042,0
130,45.854534,Female,38.87527,23.75518,2.6420643,8.437027,Standard,Annual,606.3005,6.090656,0
131,27.903278,Male,22.132437,7.87298,7.3679233,24.532148,Standard,Annual,714.4501,16.814648,0
132,27.131973,Male,8.810307,17.877234,2.5014944,18.365084,Premium,Quarterly,694.2128,12.96106,0
133,35.23297,Female,29.364992,12.715246,4.691061,10.466594,Standard,Quarterly,688.84265,6.211922,0
134,53.70552,Male,28.738668,20.907146,5.0417457,17.858646,Basic,Annual,855.3854,21.49741,0
135,49.477417,Male,7.8804526,25.485807,6.2807817,13.52406,Standard,Quarterly,868.7956,25.019157,0
136,32.063587,Male,42.4172,22.197735,0.8303139,9.033446,Standard,Annual,840.30817,8.930168,0
137,37.52446,Male,37.51161,23.79153,5.1344914,11.48637,Standard,Annual,531.4008,8.304653,0
138,52.631634,Male,28.732368,19.84649,1.3183177,21.938078,Premium,Quarterly,358.5758,9.301923,0
139,38.428528,Male,28.769234,17.479013,2.73689,8.4739685,Standard,Quarterly,730.7206,19.623354,0
140,37.221146,Male,49.613613,6.4666944,1.3788214,11.248982,Basic,Quarterly,815.0607,18.797453,0
141,54.906578,Male,24.275373,3.7786553,7.105763,19.343618,Basic,Quarterly,471.11472,15.089583,0
142,29.148726,Female,38.717438,22.81071,0.982826,8.580419,Standard,Quarterly,733.3762,4.8475547,0
143,50.73206,Female,29.744167,24.211267,3.6603231,26.831507,Premium,Quarterly,440.6069,10.371805,0
144,50.49942,Female,42.511375,15.253333,4.146719,5.4412637,Basic,Annual,389.49338,8.374564,0
145,46.361965,Female,35.578495,10.966623,3.489403,22.395624,Premium,Quarterly,368.05893,9.283822,0
146,44.634785,Male,42.854927,13.512296,3.17244,15.650847,Standard,Quarterly,802.1086,14.345093,0
147,35.07193,Female,48.53612,16.44411,1.3635423,7.0214534,Standard,Annual,797.05304,6.8554463,0
148,37.50513,Male,11.639839,9.598301,8.413645,21.769087,Standard,Quarterly,578.5949,23.664642,0
149,39.46632,Male,46.742916,21.934862,2.4805834,23.710238,Premium,Annual,648.95337,18.690796,0
150,30.218124,Female,9.085453,21.111614,5.168561,4.771233,Premium,Quarterly,648.1894,7.3126264,0
151,39.68092,Male,32.930992,6.3781247,1.5956583,7.8241606,Basic,Quarterly,753.9486,21.096478,0
152,31.76039,Male,29.815453,21.145351,4.685491,16.897388,Standard,Annual,589.86566,10.5297,0
153,39.399914,Male,13.723021,15.101359,1.0816154,12.833759,Standard,Quarterly,915.3992,19.562538,0
154,36.218613,Male,29.955223,8.190132,1.4609716,6.5937448,Standard,Quarterly,833.34314,10.360336,0
155,35.640156,Female,30.77051,19.422518,1.4563925,13.2941065,Standard,Quarterly,731.0688,5.700443,0
156,53.702423,Male,32.5936,6.388492,5.722089,27.534351,Basic,Quarterly,317.7187,22.178967,0
157,39.990494,Male,19.925983,8.077711,2.4262588,11.982444,Standard,Quarterly,805.4297,8.04014,0
158,42.15206,Male,43.514748,19.865366,5.18066,12.008769,Basic,Annual,487.65256,20.910875,0
159,32.157913,Male,27.62413,10.582945,4.9786897,14.314156,Basic,Quarterly,423.86002,13.3534355,0
160,37.639706,Male,22.620052,25.682096,1.5749643,16.255611,Standard,Annual,805.9825,8.203132,0
161,45.232353,Female,9.007534,13.47277,2.6164556,8.57691,Premium,Quarterly,455.93973,6.42462,0
162,46.746983,Female,19.62376,19.790665,3.7462535,5.78086,Standard,Quarterly,822.1842,5.871136,0
163,25.857977,Male,35.344116,24.758753,1.0546567,7.6071777,Standard,Annual,787.64685,14.902332,0
164,43.323452,Female,46.939144,19.23255,2.3014064,7.5915275,Standard,Annual,719.5087,6.6656666,0
165,37.630592,Female,20.103645,24.860212,1.724544,7.743238,Standard,Annual,728.55035,6.2325845,0
166,43.688416,Male,35.612328,13.848701,2.7539513,18.616373,Standard,Quarterly,839.6051,9.899206,0
167,42.10877,Male,9.638199,6.559157,1.8773863,11.019246,Premium,Quarterly,650.71576,14.834516,0
168,47.39973,Male,41.56878,14.499389,3.1996622,10.557023,Basic,Quarterly,618.8016,16.270649,0
169,25.972006,Male,33.417027,25.197906,3.783251,9.219406,Standard,Annual,741.67505,21.680738,0
170,40.896072,Male,19.965588,5.2225537,3.2005029,14.638039,Basic,Quarterly,406.02765,22.78082,0
171,51.39306,Male,30.46785,11.02098,8.623168,22.791418,Basic,Quarterly,716.1821,25.46738,0
172,36.34303,Male,19.714785,19.704292,1.2313838,5.575664,Standard,Quarterly,807.7037,21.302616,0
173,51.376938,Female,50.481487,20.00071,4.2272663,21.440817,Basic,Annual,223.04375,24.855886,0
174,51.49583,Male,31.460577,7.005117,4.1514025,19.77625,Basic,Quarterly,481.9397,10.043025,0
175,46.180775,Male,35.463566,21.82566,1.8590057,10.805165,Standard,Quarterly,721.52124,10.007126,0
176,37.641457,Male,24.573284,26.762457,2.251067,15.473378,Standard,Annual,764.2683,21.947561,0
177,39.975445,Female,42.716404,19.815376,2.567536,8.235016,Standard,Annual,605.15857,7.4546742,0
178,40.139137,Female,50.253353,23.744825,2.7724957,8.4045925,Standard,Annual,497.93457,7.1311817,0
179,34.84928,Male,11.844028,23.092041,1.473413,10.737719,Standard,Quarterly,700.1216,19.862633,0
180,57.303547,Male,35.892372,20.525934,2.372716,9.986074,Basic,Monthly,277.92703,21.980394,0
181,43.092247,Female,33.46564,12.778267,1.944372,13.902639,Standard,Quarterly,796.8114,6.5885754,0
182,28.611176,Female,13.922745,17.152807,0.93438244,3.3952374,Standard,Quarterly,902.35626,5.9237113,0
183,42.96679,Female,39.994617,17.852592,8.580683,15.284217,Basic,Quarterly,309.62784,5.047189,0
184,40.80356,Male,12.502506,10.196041,2.7301674,10.9165325,Standard,Quarterly,603.3499,17.411757,0
185,35.76494,Male,14.926071,22.475716,3.6204062,6.0513597,Standard,Annual,676.41907,21.973904,0
186,32.06921,Male,44.72093,17.645077,2.3162138,18.66571,Standard,Annual,791.34283,19.416948,0
187,52.791348,Male,38.874584,22.364931,5.7376175,11.206293,Basic,Annual,758.7408,17.55139,0
188,43.70581,Male,12.45158,10.791924,5.466999,20.589952,Standard,Quarterly,758.0181,19.18356,0
189,35.88294,Male,30.401701,21.391605,2.8288188,8.381137,Basic,Annual,572.8595,19.646347,0
190,45.70895,Male,28.024965,9.836746,7.6011953,11.396096,Basic,Quarterly,460.59207,22.050234,0
191,47.44752,Male,13.072569,19.971426,6.1505227,19.6625,Standard,Quarterly,620.5218,8.517071,0
192,44.578537,Male,47.472794,15.624218,1.5295737,8.114255,Premium,Quarterly,659.0797,13.111743,0
193,38.82688,Male,16.896725,26.550482,1.8900005,13.017351,Standard,Quarterly,666.4902,13.315004,0
194,49.948532,Male,39.70363,16.137264,3.155641,24.375587,Basic,Quarterly,500.00223,24.893143,0
195,37.983513,Male,14.185354,9.101963,5.719255,22.734121,Standard,Quarterly,663.56476,13.023707,0
196,31.331276,Male,33.4761,26.201923,0.98126316,12.356952,Standard,Annual,701.8398,7.915136,0
197,30.804686,Male,39.819645,22.224695,1.2764645,14.015631,Standard,Quarterly,795.05426,20.652624,0
198,60.1721,Female,33.501675,21.517681,6.9221163,18.891695,Basic,Quarterly,409.6891,8.328158,0
